Symbol,Name,QtyFinanced,AmtFinanced,Date
20MICRONS,20 MICRONS LTD,199800.0,468.56,2025-08-04
360ONE,360 ONE WAM LIMITED,605421.0,6299.27,2025-08-04
3IINFOLTD,3I INFOTECH LIMITED,947917.0,257.65,2025-08-04
3MINDIA,3M INDIA LIMITED,6135.0,1690.41,2025-08-04
500245,KIRLOSKAR FERROUS INDUSTRIES L,2.0,0.01,2025-08-04
5PAISA,5PAISA CAPITAL LIMITED,31567.0,138.6,2025-08-04
63MOONS,63 MOONS TECHNOLOGIES LTD,309764.0,2740.43,2025-08-04
AAATECH,AAA TECHNOLOGIES LIMITED,1465.0,1.37,2025-08-04
AADHARHFC,AADHAR HOUSING FINANCE L,613975.0,2892.88,2025-08-04
AARON,AARON INDUSTRIES LIMITED,507.0,2.25,2025-08-04
AARTIDRUGS,AARTI DRUGS LTD.,251949.0,1214.48,2025-08-04
AARTIIND,AARTI INDUSTRIES LTD,4063897.0,17242.5,2025-08-04
AARTIPHARM,AARTI PHARMALABS LIMITED,410016.0,3186.13,2025-08-04
AARTISURF,AARTI SURFACTANTS LIMITED,655.0,3.6,2025-08-04
AARVI,AARVI ENCON LIMITED,1026.0,1.11,2025-08-04
AAVAS,AAVAS FINANCIERS LIMITED,222882.0,3779.46,2025-08-04
ABAN,ABAN OFFSHORE LTD.,16782.0,8.9,2025-08-04
ABB,ABB INDIA LIMITED,483955.0,25680.01,2025-08-04
ABBOTINDIA,ABBOTT INDIA LIMITED,10091.0,3212.08,2025-08-04
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,4599387.0,10231.08,2025-08-04
ABDL,ALLIED BLEND N DISTILS L,612903.0,2432.67,2025-08-04
ABFRL,ADITYA BIRLA FASHION & RT,28791054.0,34075.47,2025-08-04
ABGSEC,BIRLASLAMC - ABGSEC,2301.0,2.53,2025-08-04
ABLBL,ADITYA BIRLA LIFES BRAN L,4851570.0,7332.12,2025-08-04
ABREL,ADITYA BIRLA REAL EST LTD,299750.0,5990.12,2025-08-04
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,313876.0,2357.75,2025-08-04
ABSLBANETF,BIRLASLAMC - ABSLBANETF,3846.0,2.01,2025-08-04
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,21.0,0.18,2025-08-04
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,175058.0,132.94,2025-08-04
ABSLPSE,BIRLASLAMC-ABSLPSE,116216.0,10.05,2025-08-04
ACC,ACC LIMITED,936400.0,16223.03,2025-08-04
ACCELYA,ACCELYA SOLN INDIA LTD,217496.0,3166.98,2025-08-04
ACE,ACTION CONST EQUIP LTD,686427.0,7768.26,2025-08-04
ACI,ARCHEAN CHEMICAL IND LTD,547126.0,3337.22,2025-08-04
ACL,ANDHRA CEMENTS LIMITED,95575.0,87.41,2025-08-04
ACLGATI,ALLCARGO GATI LIMITED,994983.0,761.8,2025-08-04
ACMESOLAR,ACME SOLAR HOLDINGS LTD,1447894.0,3691.51,2025-08-04
ACUTAAS,ACUTAAS CHEMICALS LIMITED,320501.0,3637.81,2025-08-04
ADANIENSOL,ADANI ENERGY SOLUTION LTD,2003932.0,16335.66,2025-08-04
ADANIENT,ADANI ENTERPRISES LIMITED,885015.0,21069.1,2025-08-04
ADANIGREEN,ADANI GREEN ENERGY LTD,2081761.0,19570.74,2025-08-04
ADANIPORTS,ADANI PORT & SEZ LTD,1380307.0,17584.84,2025-08-04
ADANIPOWER,ADANI POWER LTD,4552098.0,24395.35,2025-08-04
ADFFOODS,ADF FOODS LIMITED,1126541.0,3035.73,2025-08-04
ADOR,ADOR WELDING LTD,41778.0,453.69,2025-08-04
ADSL,ALLIED DIGITAL SERV. LTD,526312.0,1007.92,2025-08-04
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,30574.0,18.06,2025-08-04
ADVENZYMES,ADVANCED ENZYME TECH LTD,886184.0,2821.29,2025-08-04
AEGISLOG,AEGIS LOGISTICS LIMITED,1193912.0,8508.11,2025-08-04
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,382167.0,971.48,2025-08-04
